id;externe_id;is_actif;date_desactivation;is_inscrit;date_inscription;date_resiliation
1;f58a5a69-3616-43bc-bfc6-4eb9262bede1;true;2021-12-07;false;2021-12-07;2021-12-07
2;cce23e3e-af60-46d9-be0e-c6beb8b4b87a;true;2021-12-07;false;2021-12-07;2021-12-07
3;b8f4695b-ffa8-4f64-ab5b-28b8cb458297;false;2021-12-07;true;2021-12-07;2021-12-07
4;89e17a06-ba09-4f67-b94d-7598124544e1;true;2021-12-07;false;2021-12-07;2021-12-07
5;830d6ada-d7b6-4f66-bd1f-6ce354101bf9;true;2021-12-07;true;2021-12-07;2021-12-07
6;99309eda-a6a3-477e-a47a-1f7f6c6a27f9;false;2021-12-07;false;2021-12-07;2021-12-07
7;bf9e7a64-54bf-4d88-9aef-48cc68a77759;false;2021-12-07;true;2021-12-07;2021-12-07
8;0b80f426-a09a-47a1-9a00-02642075f298;true;2021-12-07;true;2021-12-07;2021-12-07
9;e2c8cd27-ebec-4315-81df-13df6def7455;false;2021-12-07;false;2021-12-07;2021-12-07
10;61687144-cd8f-436f-8911-c1ce7920ec1f;true;2021-12-07;false;2021-12-07;2021-12-07
